종목코드,자본총계(원),총주식수,예상ROE(%)
008500,19300000000.0,6000000,0.0
171090,143800000000.0,9363622,29.12
016880,177900000000.0,78462571,0.0
298000,369300000000.0,3768072,0.0
278470,445800000000.0,37438155,54.58
187420,40900000000.0,32424001,0.0
123330,41000000000.0,7824686,0.0
950170,183200000000.0,48741115,0.0
177350,41300000000.0,19614225,0.0
419530,81000000000.0,9382907,22.69
036000,255800000000.0,23034277,0.0
458870,39600000000.0,38059740,44.65
483650,198600000000.0,12411540,43.04
096630,88700000000.0,15666323,0.0
257720,457400000000.0,65453052,29.64
067290,40700000000.0,55880525,0.0
124500,125400000000.0,23204527,0.0
043260,250800000000.0,70922823,0.0
300080,17200000000.0,16505451,0.0
184230,34500000000.0,18645399,0.0
065150,24300000000.0,15575840,0.0
000660,120516200000000.0,690923621,38.27
083650,177600000000.0,30942134,35.9
041510,1002600000000.0,22894690,12.73
092600,39100000000.0,4422588,0.0
267260,2028800000000.0,35992704,35.3
137080,116300000000.0,10751468,0.0
071970,488900000000.0,33921473,22.89
143240,267000000000.0,10498731,0.0
211050,216300000000.0,49260557,0.0
326030,813000000000.0,78313250,30.4
196170,445200000000.0,53510135,0.0
006620,151700000000.0,27042108,0.0
005690,123900000000.0,59991064,0.0
402340,27636500000000.0,131808151,43.55
003230,1255400000000.0,7533015,27.8
046940,156700000000.0,18074350,0.0
082740,556100000000.0,83425535,29.21
019180,224700000000.0,18000000,0.0
002960,140400000000.0,1300000,0.0
047080,17300000000.0,24822362,0.0
068790,434100000000.0,22184124,0.0
042700,690300000000.0,94853002,0.0
100030,69500000000.0,2598057,0.0
443060,824700000000.0,44833460,41.16
039200,181300000000.0,38258176,38.31
088130,170100000000.0,17485314,0.0
052400,258600000000.0,14371231,30.71
263700,68500000000.0,19399979,0.0
339950,73800000000.0,43363770,24.3
439260,1092400000000.0,37651148,19.35
036830,1735400000000.0,20445981,0.0
013520,283300000000.0,46905242,0.0
010770,127400000000.0,14388961,0.0
032620,141500000000.0,50783840,0.0
272110,96700000000.0,7830739,0.0
007660,755500000000.0,73409219,28.53
064350,3079000000000.0,109142293,24.22
226590,47300000000.0,10716784,0.0
062040,585500000000.0,30555097,30.14
035900,620600000000.0,33133059,16.21
353810,107200000000.0,33081920,0.0
090080,62100000000.0,54902259,0.0
036620,134000000000.0,89862944,0.0
001840,8900000000.0,28255354,0.0
092130,42700000000.0,12043600,0.0
258790,15400000000.0,3985624,0.0
204620,140000000000.0,70272633,0.0
019010,390600000000.0,40200000,0.0
059090,115200000000.0,31496097,0.0
450950,46800000000.0,37627592,30.27
066360,100700000000.0,47952015,0.0
214450,689300000000.0,10389648,25.32
002990,247800000000.0,37026933,0.0
003350,104700000000.0,18125035,0.0
033100,239300000000.0,16062409,0.0
206650,175400000000.0,36553307,0.0
260970,86200000000.0,2892754,0.0
019540,191800000000.0,13213126,0.0
045340,36600000000.0,8372749,0.0
154040,52600000000.0,17950094,0.0
031820,229000000000.0,12105146,0.0
214150,553000000000.0,65153528,28.86
010280,99400000000.0,13024755,0.0
461300,204400000000.0,12703464,0.0
018290,242400000000.0,34636358,0.0
100840,364700000000.0,19761108,19.4
403870,308200000000.0,81262870,0.0
336570,157400000000.0,88731173,25.09
003080,153600000000.0,19588021,0.0
484870,194700000000.0,9153900,0.0
052460,46500000000.0,12157936,0.0
476060,72000000000.0,45407840,0.0
000910,107800000000.0,15611619,0.0
298040,2351700000000.0,9311741,30.83
065710,81900000000.0,5033519,0.0
075580,228500000000.0,56849456,21.8
067160,467000000000.0,10656904,17.39
031440,357900000000.0,3615451,0.0
033500,258900000000.0,29941263,29.76
096760,267000000000.0,69190827,0.0
002380,7824500000000.0,7060596,2.55
192820,558200000000.0,11345662,22.31
036120,32100000000.0,33740761,0.0
036580,207200000000.0,35018836,0.0
383220,1878700000000.0,37481574,18.34
136490,563100000000.0,23779208,0.0
064820,301400000000.0,30860215,0.0
090850,109300000000.0,21209445,0.0
049720,63000000000.0,14290016,0.0
224060,118700000000.0,5133445,0.0
004920,73200000000.0,52179872,0.0
265560,92600000000.0,10690180,0.0
098120,81300000000.0,8312766,0.0
462870,921200000000.0,57591385,0.0
138040,10322600000000.0,163506176,20.01
381970,223900000000.0,48820848,0.0
042660,6170300000000.0,306357807,21.36
098070,162400000000.0,11121141,0.0
058470,731200000000.0,75895600,0.0
114840,104500000000.0,17029455,0.0
077970,343000000000.0,40138766,23.15
259630,102000000000.0,11899483,0.0
368770,45800000000.0,32760225,0.0
148150,235800000000.0,33987221,0.0
484590,156500000000.0,41210450,0.0
069620,1006100000000.0,11506270,15.78
229640,209200000000.0,30624879,20.04
101490,303000000000.0,20829604,0.0
173130,64700000000.0,13043084,0.0
408920,79500000000.0,42360204,0.0
119850,218800000000.0,16022905,0.0
094280,75100000000.0,11038365,0.0
090150,46200000000.0,39715836,0.0
001450,5157500000000.0,79308500,14.89
079900,155500000000.0,14529068,23.33
006910,110200000000.0,48929824,0.0
323350,18800000000.0,8006301,0.0
340570,201200000000.0,8017131,20.06
010820,82500000000.0,48771938,0.0
418470,86900000000.0,8565789,0.0
017800,1352100000000.0,36105062,0.0
034950,132300000000.0,4460871,0.0
080580,50400000000.0,20614442,0.0
189860,38400000000.0,9698780,0.0
143540,30700000000.0,43686800,0.0
031980,506400000000.0,21562395,22.95
089890,74000000000.0,16584962,0.0
200670,299600000000.0,11081996,0.0
039130,147500000000.0,14665179,28.7
207940,7451100000000.0,46239518,19.39
013700,112400000000.0,59750830,0.0
015760,48169900000000.0,641964077,13.68
093520,125700000000.0,6167678,18.29
425420,109200000000.0,12037463,0.0
241710,252700000000.0,10680000,20.03
084440,7600000000.0,18782421,0.0
017960,580200000000.0,51074372,20.62
462860,73100000000.0,70659600,0.0
080220,227100000000.0,33683104,0.0
012450,9684900000000.0,51448788,20.05
187790,42700000000.0,30668361,0.0
103590,588700000000.0,47677269,23.25
079550,1430100000000.0,21845250,27.22
069510,235000000000.0,8410000,0.0
