종목코드,종목명,시장,2026/12(E)_ROE(%)
298000,효성화학,KOSPI,260.94
008500,일정실업,KOSPI,129.88
171090,선익시스템,KOSDAQ,101.48
016880,웅진,KOSPI,96.89
278470,에이피알,KOSPI,75.3
187420,HLB제넥스,KOSDAQ,69.85
036000,예림당,KOSDAQ,66.78
123330,제닉,KOSDAQ,59.77
950170,JTC,KOSDAQ,57.43
177350,베셀,KOSDAQ,56.26
419530,SAMG엔터,KOSDAQ,54.69
458870,씨어스,KOSDAQ,52.78
483650,달바글로벌,KOSPI,52.59
096630,에스코넥,KOSDAQ,49.77
257720,실리콘투,KOSDAQ,46.89
067290,JW신약,KOSDAQ,46.3
043260,성호전자,KOSDAQ,46.27
124500,아이티센글로벌,KOSDAQ,45.89
300080,플리토,KOSDAQ,45.69
184230,SGA솔루션즈,KOSDAQ,45.29
065150,대산F&B,KOSDAQ,45.0
083650,비에이치아이,KOSDAQ,44.36
000660,SK하이닉스,KOSPI,44.15
092600,앤씨앤,KOSDAQ,43.8
041510,에스엠,KOSDAQ,41.65
267260,HD현대일렉트릭,KOSPI,41.5
137080,나래나노텍,KOSDAQ,41.46
071970,HD현대마린엔진,KOSPI,41.36
143240,사람인,KOSDAQ,41.2
211050,인카금융서비스,KOSDAQ,39.66
196170,알테오젠,KOSDAQ,39.42
326030,SK바이오팜,KOSPI,39.28
006620,동구바이오제약,KOSDAQ,39.12
005690,파미셀,KOSPI,38.31
402340,SK스퀘어,KOSPI,37.82
003230,삼양식품,KOSPI,37.59
019180,티에이치엔,KOSPI,36.85
046940,우원개발,KOSDAQ,36.78
082740,한화엔진,KOSPI,36.6
002960,한국쉘석유,KOSPI,36.04
068790,DMS,KOSDAQ,35.52
047080,한빛소프트,KOSDAQ,35.51
100030,인지소프트,KOSDAQ,35.1
042700,한미반도체,KOSPI,34.76
039200,오스코텍,KOSDAQ,33.87
443060,HD현대마린솔루션,KOSPI,33.73
088130,동아엘텍,KOSDAQ,33.57
263700,케어랩스,KOSDAQ,32.8
052400,코나아이,KOSDAQ,32.62
439260,대한조선,KOSPI,32.19
339950,아이비김영,KOSDAQ,32.19
036830,솔브레인홀딩스,KOSDAQ,32.06
013520,화승코퍼레이션,KOSPI,31.5
010770,평화홀딩스,KOSPI,31.18
272110,케이엔제이,KOSDAQ,30.79
032620,GC메디아이,KOSDAQ,30.72
003350,한국화장품제조,KOSPI,30.6
064350,현대로템,KOSPI,30.05
007660,이수페타시스,KOSPI,29.64
226590,엠디바이스,KOSDAQ,29.23
062040,산일전기,KOSPI,29.21
035900,JYP Ent.,KOSDAQ,29.21
353810,이지바이오,KOSDAQ,29.06
090080,평화산업,KOSPI,29.03
036620,감성코퍼레이션,KOSDAQ,28.75
001840,이화공영,KOSDAQ,28.15
092130,이크레더블,KOSDAQ,28.08
258790,소프트캠프,KOSDAQ,27.93
204620,글로벌텍스프리,KOSDAQ,27.81
450950,아스테라시스,KOSDAQ,27.74
059090,미코,KOSDAQ,27.23
019010,베뉴지,KOSDAQ,27.16
066360,체리부로,KOSDAQ,27.0
033100,제룡전기,KOSDAQ,26.93
214450,파마리서치,KOSDAQ,26.88
206650,유바이오로직스,KOSDAQ,26.85
002990,금호건설,KOSPI,26.79
260970,에스앤디,KOSDAQ,26.71
019540,일지테크,KOSDAQ,26.7
045340,토탈소프트,KOSDAQ,26.65
154040,다산솔루에타,KOSDAQ,26.55
010280,아이티센엔텍,KOSDAQ,26.23
214150,클래시스,KOSDAQ,26.21
031820,아이티센씨티에스,KOSPI,25.89
018290,브이티,KOSDAQ,25.66
461300,아이스크림미디어,KOSDAQ,25.36
484870,엠앤씨솔루션,KOSPI,25.32
100840,SNT에너지,KOSPI,25.15
403870,HPSP,KOSDAQ,24.79
336570,원텍,KOSDAQ,24.79
003080,SB성보,KOSPI,24.66
052460,아이크래프트,KOSDAQ,24.65
476060,온코닉테라퓨틱스,KOSDAQ,24.65
000910,유니온,KOSPI,24.46
298040,효성중공업,KOSPI,24.41
065710,서호전기,KOSDAQ,24.38
075580,세진중공업,KOSPI,24.35
033500,동성화인텍,KOSDAQ,24.23
067160,SOOP,KOSDAQ,24.08
192820,코스맥스,KOSPI,23.86
031440,신세계푸드,KOSPI,23.71
096760,JW홀딩스,KOSPI,23.57
002380,KCC,KOSPI,23.51
136490,선진,KOSPI,23.5
036120,서울평가정보,KOSDAQ,23.39
090850,현대이지웰,KOSDAQ,23.24
036580,팜스코,KOSPI,23.16
383220,F&F,KOSPI,23.16
064820,케이프,KOSDAQ,23.12
098120,마이크로컨텍솔,KOSDAQ,23.08
049720,고려신용정보,KOSDAQ,22.89
224060,더코디,KOSDAQ,22.85
004920,씨아이테크,KOSPI,22.84
265560,영화테크,KOSDAQ,22.82
462870,시프트업,KOSPI,22.71
381970,케이카,KOSPI,22.63
042660,한화오션,KOSPI,22.59
138040,메리츠금융지주,KOSPI,22.53
098070,한텍,KOSDAQ,22.45
058470,리노공업,KOSDAQ,22.45
114840,아이패밀리에스씨,KOSDAQ,22.28
077970,STX엔진,KOSPI,22.26
148150,세경하이테크,KOSDAQ,22.13
259630,엠플러스,KOSDAQ,22.12
368770,파이버프로,KOSDAQ,22.06
069620,대웅제약,KOSPI,21.75
484590,삼양컴텍,KOSDAQ,21.6
229640,LS에코에너지,KOSPI,21.43
173130,오파스넷,KOSDAQ,21.36
101490,에스앤에스텍,KOSDAQ,21.24
094280,효성ITX,KOSPI,21.21
119850,지엔씨에너지,KOSDAQ,21.15
408920,메쎄이상,KOSDAQ,20.79
090150,아이윈,KOSDAQ,20.77
001450,현대해상,KOSPI,20.6
079900,전진건설로봇,KOSPI,20.58
340570,티앤엘,KOSDAQ,20.44
323350,다원넥스뷰,KOSDAQ,20.38
006910,보성파워텍,KOSDAQ,20.26
010820,퍼스텍,KOSPI,20.16
017800,현대엘리베이터,KOSPI,20.1
034950,한국기업평가,KOSDAQ,20.08
418470,KT밀리의서재,KOSDAQ,20.03
080580,오킨스전자,KOSDAQ,19.93
189860,서전기전,KOSDAQ,19.86
143540,영우디에스피,KOSDAQ,19.84
039130,하나투어,KOSPI,19.79
200670,휴메딕스,KOSDAQ,19.61
089890,코세스,KOSDAQ,19.58
031980,피에스케이홀딩스,KOSDAQ,19.55
207940,삼성바이오로직스,KOSPI,19.44
015760,한국전력,KOSPI,19.4
013700,까뮤이앤씨,KOSPI,19.4
084440,유비온,KOSDAQ,19.36
425420,티에프이,KOSDAQ,19.3
093520,매커스,KOSDAQ,19.3
017960,한국카본,KOSPI,19.3
241710,코스메카코리아,KOSDAQ,19.29
462860,더즌,KOSDAQ,19.29
080220,제주반도체,KOSDAQ,19.21
079550,LIG디펜스앤에어로스페이스,KOSPI,19.2
012450,한화에어로스페이스,KOSPI,19.14
103590,일진전기,KOSPI,19.08
187790,나노,KOSDAQ,19.01
069510,에스텍,KOSDAQ,18.98
000540,흥국화재,KOSPI,18.85
329180,HD현대중공업,KOSPI,18.82
377460,큐에이드,KOSDAQ,18.78
071050,한국금융지주,KOSPI,18.66
082920,비츠로셀,KOSDAQ,18.56
073240,금호타이어,KOSPI,18.53
183300,코미코,KOSDAQ,18.52
123410,코리아에프티,KOSDAQ,18.48
462980,아이지넷,KOSDAQ,18.38
104460,디와이피엔에프,KOSDAQ,18.26
469610,이노테크,KOSDAQ,18.16
021240,코웨이,KOSPI,18.14
086280,현대글로비스,KOSPI,18.13
039490,키움증권,KOSPI,18.12
215200,메가스터디교육,KOSDAQ,18.03
333430,일승,KOSDAQ,17.79
009540,HD한국조선해양,KOSPI,17.78
020710,시공테크,KOSDAQ,17.77
204610,티쓰리,KOSDAQ,17.72
005830,DB손해보험,KOSPI,17.72
080160,모두투어,KOSDAQ,17.71
227950,엔투텍,KOSDAQ,17.7
018500,동원금속,KOSPI,17.68
030190,NICE평가정보,KOSPI,17.62
001060,JW중외제약,KOSPI,17.6
064400,LG씨엔에스,KOSPI,17.35
099410,동방선기,KOSDAQ,17.34
089970,브이엠,KOSDAQ,17.33
179290,엠아이텍,KOSDAQ,17.32
318160,셀바이오휴먼텍,KOSDAQ,16.91
037460,삼지전자,KOSDAQ,16.89
481070,에이유브랜즈,KOSDAQ,16.83
140860,파크시스템스,KOSDAQ,16.69
265740,엔에프씨,KOSDAQ,16.68
067730,로지시스,KOSDAQ,16.63
051360,토비스,KOSDAQ,16.58
003720,삼영,KOSPI,16.58
307280,원바이오젠,KOSDAQ,16.55
031330,에스에이엠티,KOSDAQ,16.55
060250,NHN KCP,KOSDAQ,16.35
058860,KTis,KOSPI,16.29
014940,오리엔탈정공,KOSDAQ,16.26
042000,카페24,KOSDAQ,16.23
295310,에이치브이엠,KOSDAQ,16.15
083450,GST,KOSDAQ,16.15
003090,대웅,KOSPI,16.11
950140,잉글우드랩,KOSDAQ,16.09
145020,휴젤,KOSDAQ,16.06
007610,선도전기,KOSPI,16.0
012510,더존비즈온,KOSPI,16.0
356860,티엘비,KOSDAQ,15.99
023590,다우기술,KOSPI,15.95
007370,진양제약,KOSDAQ,15.93
332570,PS일렉트로닉스,KOSDAQ,15.91
078520,에이블씨엔씨,KOSPI,15.88
053270,구영테크,KOSDAQ,15.87
402490,그린리소스,KOSDAQ,15.86
095610,테스,KOSDAQ,15.76
012280,영화금속,KOSPI,15.74
198080,캐프,KOSDAQ,15.73
303360,프로티아,KOSDAQ,15.72
332370,아이디피,KOSDAQ,15.7
020180,대신정보통신,KOSDAQ,15.66
282330,BGF리테일,KOSPI,15.64
041930,SY동아,KOSDAQ,15.64
473980,노머스,KOSDAQ,15.64
053060,세동,KOSDAQ,15.6
319660,피에스케이,KOSDAQ,15.54
036030,케이티알파,KOSDAQ,15.47
472850,폰드그룹,KOSDAQ,15.46
015360,INVENI,KOSPI,15.46
003650,미창석유,KOSPI,15.44
068930,디지털대성,KOSDAQ,15.41
041190,우리기술투자,KOSDAQ,15.33
214430,아이쓰리시스템,KOSDAQ,15.31
105550,엣지파운드리,KOSDAQ,15.29
194370,제이에스코퍼레이션,KOSPI,15.29
064850,에프앤가이드,KOSDAQ,15.15
096240,크레버스,KOSDAQ,15.15
017510,세명전기,KOSDAQ,15.13
445180,퓨릿,KOSDAQ,15.1
327260,RF머트리얼즈,KOSDAQ,15.05
290120,DH오토리드,KOSDAQ,15.03
007340,DN오토모티브,KOSPI,15.02
033250,체시스,KOSPI,15.0
458350,에스팀,KOSDAQ,14.99
194700,노바렉스,KOSDAQ,14.99
080470,성창오토텍,KOSDAQ,14.99
016670,µđ¸đ¾Æ,KOSDAQ,14.99
092730,네오팜,KOSDAQ,14.95
039420,케이엘넷,KOSDAQ,14.85
071320,지역난방공사,KOSPI,14.84
190510,나무가,KOSDAQ,14.83
264660,씨앤지하이테크,KOSDAQ,14.81
448710,코츠테크놀로지,KOSDAQ,14.8
032190,다우데이타,KOSDAQ,14.76
030720,동원수산,KOSPI,14.73
134380,미원화학,KOSPI,14.72
161890,한국콜마,KOSPI,14.69
482630,삼양엔씨켐,KOSDAQ,14.69
053800,안랩,KOSDAQ,14.68
010120,LS ELECTRIC,KOSPI,14.67
071200,인피니트헬스케어,KOSDAQ,14.66
053610,프로텍,KOSDAQ,14.59
241520,DSC인베스트먼트,KOSDAQ,14.58
007980,TP,KOSPI,14.54
128940,한미약품,KOSPI,14.53
114810,한솔아이원스,KOSDAQ,14.49
139670,키네마스터,KOSDAQ,14.44
254490,미래반도체,KOSDAQ,14.41
059100,¾ÆÀ̀ÄÄÆ÷³ÍÆ®,KOSDAQ,14.37
004800,효성,KOSPI,14.35
014680,한솔케미칼,KOSPI,14.34
268280,미원에스씨,KOSPI,14.34
214180,헥토이노베이션,KOSDAQ,14.22
045390,대아티아이,KOSDAQ,14.2
052690,한전기술,KOSPI,14.2
033640,네패스,KOSDAQ,14.19
003480,한진중공업홀딩스,KOSPI,14.18
479960,위너스일렉,KOSDAQ,14.15
388050,지투파워,KOSDAQ,14.09
023760,한국캐피탈,KOSDAQ,14.08
176750,듀켐바이오,KOSDAQ,14.05
033530,SJG세종,KOSPI,14.05
047400,유니온머티리얼,KOSPI,14.04
452280,한선엔지니어링,KOSDAQ,14.04
178780,일월지엠엘,KOSDAQ,14.03
052860,아이앤씨,KOSDAQ,14.03
005710,대원산업,KOSDAQ,14.01
000950,전방,KOSPI,13.99
009320,아진전자부품,KOSPI,13.98
069730,DSR제강,KOSPI,13.97
086670,비엠티,KOSDAQ,13.96
147830,제룡산업,KOSDAQ,13.94
011560,세보엠이씨,KOSDAQ,13.86
244920,에이플러스에셋,KOSPI,13.82
092460,한라IMS,KOSDAQ,13.76
028050,삼성E&A,KOSPI,13.76
010140,삼성중공업,KOSPI,13.74
373160,데이원컴퍼니,KOSDAQ,13.74
290560,파라택시스이더리움,KOSDAQ,13.71
030000,제일기획,KOSPI,13.7
025880,케이씨피드,KOSDAQ,13.67
018120,진로발효,KOSDAQ,13.65
083930,아바코,KOSDAQ,13.62
097520,엠씨넥스,KOSPI,13.61
249420,일동제약,KOSPI,13.59
234080,JW생명과학,KOSPI,13.59
272290,이녹스첨단소재,KOSDAQ,13.55
294570,쿠콘,KOSDAQ,13.54
064760,티씨케이,KOSDAQ,13.5
110990,디아이티,KOSDAQ,13.5
094820,일진파워,KOSDAQ,13.41
039830,오로라,KOSDAQ,13.37
053300,한국정보인증,KOSDAQ,13.36
035150,백산,KOSPI,13.22
002800,신신제약,KOSDAQ,13.21
066620,국보디자인,KOSDAQ,13.15
008930,한미사이언스,KOSPI,13.13
459550,알트,KOSDAQ,13.12
001560,제일연마,KOSPI,13.12
115500,케이씨에스,KOSDAQ,13.11
016360,삼성증권,KOSPI,13.09
403850,더핑크퐁컴퍼니,KOSDAQ,13.08
054040,한국컴퓨터,KOSDAQ,13.04
001620,케이비아이동국실업,KOSPI,13.01
054950,제이브이엠,KOSDAQ,13.0
136410,아셈스,KOSDAQ,12.97
021080,에이티넘인베스트,KOSDAQ,12.96
096610,알에프세미,KOSDAQ,12.96
000270,기아,KOSPI,12.92
264450,유비쿼스,KOSDAQ,12.92
023450,동남합성,KOSPI,12.91
011760,현대코퍼레이션,KOSPI,12.91
088390,이녹스,KOSDAQ,12.9
009970,영원무역홀딩스,KOSPI,12.83
009780,엠에스씨,KOSDAQ,12.83
005850,에스엘,KOSPI,12.81
052790,액토즈소프트,KOSDAQ,12.77
236200,슈프리마,KOSDAQ,12.75
037270,YG PLUS,KOSPI,12.69
003280,흥아해운,KOSPI,12.66
111770,영원무역,KOSPI,12.66
060850,영림원소프트랩,KOSDAQ,12.62
263860,지니언스,KOSDAQ,12.6
136480,하림,KOSDAQ,12.56
088910,동우팜투테이블,KOSDAQ,12.55
101160,월덱스,KOSDAQ,12.53
000990,DB하이텍,KOSPI,12.51
213420,덕산네오룩스,KOSDAQ,12.5
052420,오성첨단소재,KOSDAQ,12.48
453340,현대그린푸드,KOSPI,12.46
006800,미래에셋증권,KOSPI,12.36
175330,JB금융지주,KOSPI,12.36
330730,스톤브릿지벤처스,KOSDAQ,12.36
009240,한샘,KOSPI,12.33
417180,핑거스토리,KOSDAQ,12.32
251970,펌텍코리아,KOSDAQ,12.3
102710,이엔에프테크놀로지,KOSDAQ,12.29
058630,엠게임,KOSDAQ,12.28
317450,명인제약,KOSPI,12.28
010690,화신,KOSPI,12.25
009450,경동나비엔,KOSPI,12.24
215360,우리산업,KOSDAQ,12.2
000300,DH오토넥스,KOSPI,12.17
290550,디케이티,KOSDAQ,12.05
065690,파커스,KOSDAQ,11.98
475150,SK이터닉스,KOSPI,11.93
227840,현대코퍼레이션홀딩스,KOSPI,11.89
138610,나이벡,KOSDAQ,11.89
243070,휴온스,KOSDAQ,11.85
035890,서희건설,KOSDAQ,11.84
290270,휴네시온,KOSDAQ,11.83
226400,오스테오닉,KOSDAQ,11.83
079960,동양이엔피,KOSDAQ,11.81
033780,KT&G,KOSPI,11.77
005940,NH투자증권,KOSPI,11.76
067280,멀티캠퍼스,KOSDAQ,11.72
271980,제일약품,KOSPI,11.71
284740,쿠쿠홈시스,KOSPI,11.7
094850,참좋은여행,KOSDAQ,11.69
130580,나이스디앤비,KOSDAQ,11.69
012030,DB,KOSPI,11.67
036890,진성티이씨,KOSDAQ,11.66
053580,웹케시,KOSDAQ,11.65
417790,트루엔,KOSDAQ,11.61
006040,동원산업,KOSPI,11.61
009180,한솔로지스틱스,KOSPI,11.59
192400,쿠쿠홀딩스,KOSPI,11.56
058850,KTcs,KOSPI,11.55
240550,동방메디컬,KOSDAQ,11.54
007810,코리아써키트,KOSPI,11.54
081580,성우전자,KOSDAQ,11.53
297090,씨에스베어링,KOSDAQ,11.53
009770,삼정펄프,KOSPI,11.51
051500,CJ프레시웨이,KOSDAQ,11.51
054670,대한뉴팜,KOSDAQ,11.5
378850,화승알앤에이,KOSPI,11.49
003010,혜인,KOSPI,11.49
297570,알로이스,KOSDAQ,11.45
036800,나이스정보통신,KOSDAQ,11.45
025770,한국정보통신,KOSDAQ,11.4
081660,미스토홀딩스,KOSPI,11.39
212560,네오오토,KOSDAQ,11.38
443250,레뷰코퍼레이션,KOSDAQ,11.37
137400,피엔티,KOSDAQ,11.37
038390,레드캡투어,KOSDAQ,11.36
013030,하이록코리아,KOSDAQ,11.35
297890,HB솔루션,KOSDAQ,11.34
016740,두올,KOSPI,11.34
192080,더블유게임즈,KOSPI,11.33
474610,RF시스템즈,KOSDAQ,11.29
100220,비상교육,KOSPI,11.28
009410,태영건설,KOSPI,11.28
049520,유아이엘,KOSDAQ,11.23
121890,에스디시스템,KOSDAQ,11.22
005440,현대지에프홀딩스,KOSPI,11.18
027710,팜스토리,KOSDAQ,11.16
262840,¾ÆÀ̀Äù½ºÆ®,KOSDAQ,11.15
033240,자화전자,KOSPI,11.15
352090,스톰테크,KOSDAQ,11.13
051370,인터플렉스,KOSDAQ,11.11
054800,아이디스홀딩스,KOSDAQ,11.11
187870,디바이스,KOSDAQ,11.11
013580,계룡건설,KOSPI,11.1
044820,코스맥스비티아이,KOSPI,11.08
014970,삼륭물산,KOSDAQ,11.04
061090,세나테크놀로지,KOSDAQ,11.04
114090,GKL,KOSPI,11.01
451250,삐아,KOSDAQ,10.98
000810,삼성화재,KOSPI,10.96
000500,가온전선,KOSPI,10.96
037030,파워넷,KOSDAQ,10.93
037350,성도이엔지,KOSDAQ,10.9
290720,푸드나무,KOSDAQ,10.9
024800,유성티엔에스,KOSDAQ,10.9
285490,노바텍,KOSDAQ,10.89
005930,삼성전자,KOSPI,10.85
232680,라온로보틱스,KOSDAQ,10.84
083500,에프엔에스테크,KOSDAQ,10.83
012630,HDC,KOSPI,10.82
050890,쏠리드,KOSDAQ,10.8
000370,한화손해보험,KOSPI,10.8
129890,앱코,KOSDAQ,10.8
080010,이상네트웍스,KOSDAQ,10.8
036570,NC,KOSPI,10.79
457550,우진엔텍,KOSDAQ,10.78
010240,흥국,KOSDAQ,10.73
023160,태광,KOSDAQ,10.73
036640,HRS,KOSDAQ,10.72
206640,바디텍메드,KOSDAQ,10.71
002840,미원상사,KOSPI,10.66
080530,코디,KOSDAQ,10.64
054540,삼영엠텍,KOSDAQ,10.64
128660,피제이메탈,KOSDAQ,10.63
259960,크래프톤,KOSPI,10.6
014580,태경비케이,KOSPI,10.6
095340,ISC,KOSDAQ,10.6
196700,웹스,KOSDAQ,10.59
322000,HD현대에너지솔루션,KOSPI,10.58
003780,진양산업,KOSPI,10.57
281820,케이씨텍,KOSPI,10.55
263020,디케이앤디,KOSDAQ,10.53
464280,티디에스팜,KOSDAQ,10.52
015750,성우하이텍,KOSDAQ,10.52
271560,오리온,KOSPI,10.51
047810,한국항공우주,KOSPI,10.51
078150,HB테크놀러지,KOSDAQ,10.48
005430,한국공항,KOSPI,10.46
012750,에스원,KOSPI,10.45
131290,티에스이,KOSDAQ,10.42
086450,동국제약,KOSDAQ,10.42
310200,애니플러스,KOSDAQ,10.39
009470,삼화전기,KOSPI,10.39
337930,젝시믹스,KOSDAQ,10.37
290740,액트로,KOSDAQ,10.37
041830,인바디,KOSDAQ,10.37
004140,동방,KOSPI,10.36
001750,한양증권,KOSPI,10.32
039010,현대에이치티,KOSDAQ,10.29
035610,솔본,KOSDAQ,10.28
005960,동부건설,KOSPI,10.28
307950,현대오토에버,KOSPI,10.27
267250,HD현대,KOSPI,10.25
032850,비트컴퓨터,KOSDAQ,10.24
030200,KT,KOSPI,10.22
017370,우신시스템,KOSPI,10.18
001360,삼성제약,KOSPI,10.18
136540,윈스테크넷,KOSDAQ,10.18
097230,HJ중공업,KOSPI,10.15
094970,제이엠티,KOSDAQ,10.13
309960,LB인베스트먼트,KOSDAQ,10.11
059210,메타바이오메드,KOSDAQ,10.1
457370,한켐,KOSDAQ,10.09
042420,네오위즈홀딩스,KOSDAQ,10.08
002810,삼영무역,KOSPI,10.06
237690,에스티팜,KOSDAQ,10.03
251120,바이오에프디엔씨,KOSDAQ,10.03
