종목코드,종목명,시장,2026/12(E)_ROE(%)
042700,한미반도체,KOSPI,41.79
402340,SK스퀘어,KOSPI,34.64
138040,메리츠금융지주,KOSPI,26.76
012450,한화에어로스페이스,KOSPI,21.38
015760,한국전력,KOSPI,20.27
042660,한화오션,KOSPI,16.97
034730,SK,KOSPI,14.21
000810,삼성화재,KOSPI,12.04
047810,한국항공우주,KOSPI,11.7
033780,KT&G,KOSPI,11.32
006800,미래에셋증권,KOSPI,11.06
010130,고려아연,KOSPI,9.9
105560,KB금융,KOSPI,9.76
316140,우리금융지주,KOSPI,9.37
272210,한화시스템,KOSPI,8.77
055550,신한지주,KOSPI,8.75
035420,NAVER,KOSPI,8.13
024110,기업은행,KOSPI,7.94
011200,HMM,KOSPI,6.82
032830,삼성생명,KOSPI,6.29
035720,카카오,KOSPI,5.19
068270,셀트리온,KOSPI,4.83
034020,두산에너빌리티,KOSPI,2.46
352820,하이브,KOSPI,0.24
267250,HD현대,KOSPI,0.0
003670,포스코퓨처엠,KOSPI,0.0
010120,LS ELECTRIC,KOSPI,0.0
051910,LG화학,KOSPI,0.0
009150,삼성전기,KOSPI,0.0
096770,SK이노베이션,KOSPI,0.0
066570,LG전자,KOSPI,0.0
086280,현대글로비스,KOSPI,0.0
005935,삼성전자우,KOSPI,0.0
012330,현대모비스,KOSPI,0.0
028260,삼성물산,KOSPI,0.0
005930,삼성전자,KOSPI,0.0
207940,삼성바이오로직스,KOSPI,0.0
005380,현대차,KOSPI,0.0
329180,HD현대중공업,KOSPI,0.0
373220,LG에너지솔루션,KOSPI,0.0
000270,기아,KOSPI,0.0
010140,삼성중공업,KOSPI,0.0
298040,효성중공업,KOSPI,0.0
005490,POSCO홀딩스,KOSPI,0.0
086790,하나금융지주,KOSPI,0.0
009540,HD한국조선해양,KOSPI,0.0
267260,HD현대일렉트릭,KOSPI,0.0
000660,SK하이닉스,KOSPI,0.0
064350,현대로템,KOSPI,0.0
006400,삼성SDI,KOSPI,-3.04
