종목코드,종목명,시장,ROE(%),자본총계(원),총주식수,적정주가(S-RIM),보수적주가(S-RIM)
298000,효성화학,KOSPI,260.94,369300000000.0,3768072,2459050,1181310
008500,일정실업,KOSPI,129.88,19300000000.0,6000000,40170,20170
171090,선익시스템,KOSDAQ,101.48,143800000000.0,9363622,149850,77070
016880,웅진,KOSPI,96.89,177900000000.0,78462571,21120,10920
278470,에이피알,KOSPI,75.3,445800000000.0,37438155,86220,46000
187420,HLB제넥스,KOSDAQ,69.85,40900000000.0,32424001,8470,4570
036000,예림당,KOSDAQ,66.78,255800000000.0,23034277,71310,38730
123330,제닉,KOSDAQ,59.77,41000000000.0,7824686,30110,16650
950170,JTC,KOSDAQ,57.43,183200000000.0,48773115,20740,11550
177350,베셀,KOSDAQ,56.26,41300000000.0,19614225,11390,6370
419530,SAMG엔터,KOSDAQ,54.69,81000000000.0,9382907,45400,25500
458870,씨어스,KOSDAQ,52.78,39600000000.0,38059740,5280,2990
483650,달바글로벌,KOSPI,52.59,198600000000.0,12421540,80850,45750
096630,에스코넥,KOSDAQ,49.77,88700000000.0,15666323,27100,15500
257720,실리콘투,KOSDAQ,46.89,457400000000.0,65453052,31510,18240
067290,JW신약,KOSDAQ,46.3,40700000000.0,55880525,3240,1880
043260,성호전자,KOSDAQ,46.27,250800000000.0,70922823,15730,9130
124500,아이티센글로벌,KOSDAQ,45.89,125400000000.0,23204527,23850,13870
300080,플리토,KOSDAQ,45.69,17200000000.0,16505451,4580,2660
184230,SGA솔루션즈,KOSDAQ,45.29,34500000000.0,18645399,8060,4700
065150,대산F&B,KOSDAQ,45.0,24300000000.0,15575840,6750,3940
083650,비에이치아이,KOSDAQ,44.36,177600000000.0,30942134,24480,14340
000660,SK하이닉스,KOSPI,44.15,120516200000000.0,690911085,740490,434150
092600,앤씨앤,KOSDAQ,43.8,39100000000.0,4422588,37230,21870
041510,에스엠,KOSDAQ,41.65,1002600000000.0,22894690,175380,104170
267260,HD현대일렉트릭,KOSPI,41.5,2028800000000.0,35992704,224930,133710
137080,나래나노텍,KOSDAQ,41.46,116300000000.0,10766468,43060,25600
071970,HD현대마린엔진,KOSPI,41.36,488900000000.0,33921473,57320,34100
143240,사람인,KOSDAQ,41.2,267000000000.0,10498731,100750,59990
211050,인카금융서비스,KOSDAQ,39.66,216300000000.0,49260557,16740,10060
196170,알테오젠,KOSDAQ,39.42,445200000000.0,53510135,31540,18970
326030,SK바이오팜,KOSPI,39.28,813000000000.0,78313250,39210,23610
006620,동구바이오제약,KOSDAQ,39.12,151700000000.0,27042108,21100,12720
005690,파미셀,KOSPI,38.31,123900000000.0,59991064,7610,4610
402340,SK스퀘어,KOSPI,37.82,27636500000000.0,131808151,762480,463310
003230,삼양식품,KOSPI,37.59,1255400000000.0,7533015,602350,366560
019180,티에이치엔,KOSPI,36.85,224700000000.0,18000000,44230,27050
046940,우원개발,KOSDAQ,36.78,156700000000.0,18074350,30660,18760
082740,한화엔진,KOSPI,36.6,556100000000.0,83425535,23460,14370
002960,한국쉘석유,KOSPI,36.04,140400000000.0,1300000,374260,230170
068790,DMS,KOSDAQ,35.52,434100000000.0,22184124,66830,41250
047080,한빛소프트,KOSDAQ,35.51,17300000000.0,24822362,2380,1470
100030,인지소프트,KOSDAQ,35.1,69500000000.0,2598226,90280,55900
042700,한미반도체,KOSPI,34.76,690300000000.0,94853002,24320,15100
039200,오스코텍,KOSDAQ,33.87,181300000000.0,38258176,15430,9650
443060,HD현대마린솔루션,KOSPI,33.73,824700000000.0,44833460,59660,37330
088130,동아엘텍,KOSDAQ,33.57,170100000000.0,17485314,31400,19670
263700,케어랩스,KOSDAQ,32.8,68500000000.0,19399979,11140,7020
052400,코나아이,KOSDAQ,32.62,258600000000.0,14371231,56440,35630
439260,대한조선,KOSPI,32.19,1092400000000.0,38088730,88770,56250
339950,아이비김영,KOSDAQ,32.19,73800000000.0,43363770,5270,3340
036830,솔브레인홀딩스,KOSDAQ,32.06,1735400000000.0,20445981,261650,165990
013520,화승코퍼레이션,KOSPI,31.5,283300000000.0,46905242,18290,11660
010770,평화홀딩스,KOSPI,31.18,127400000000.0,14388961,26550,16970
272110,케이엔제이,KOSDAQ,30.79,96700000000.0,7830739,36560,23460
032620,GC메디아이,KOSDAQ,30.72,141500000000.0,50783840,8230,5280
003350,한국화장품제조,KOSPI,30.6,104700000000.0,18125035,17000,10920
064350,현대로템,KOSPI,30.05,3079000000000.0,109142293,81510,52670
007660,이수페타시스,KOSPI,29.64,755500000000.0,73409219,29330,19030
226590,엠디바이스,KOSDAQ,29.23,47300000000.0,10716784,12400,8080
062040,산일전기,KOSPI,29.21,585500000000.0,30555097,53820,35060
035900,JYP Ent.,KOSDAQ,29.21,620600000000.0,33133059,52610,34270
353810,이지바이오,KOSDAQ,29.06,107200000000.0,33081920,9050,5910
090080,평화산업,KOSPI,29.03,62100000000.0,54902259,3160,2060
036620,감성코퍼레이션,KOSDAQ,28.75,134000000000.0,89862944,4120,2700
001840,이화공영,KOSDAQ,28.15,8900000000.0,28255354,850,560
092130,이크레더블,KOSDAQ,28.08,42700000000.0,12043600,9570,6310
258790,소프트캠프,KOSDAQ,27.93,15400000000.0,3985624,10380,6850
204620,글로벌텍스프리,KOSDAQ,27.81,140000000000.0,70272633,5330,3520
450950,아스테라시스,KOSDAQ,27.74,46800000000.0,37627592,3320,2200
059090,미코,KOSDAQ,27.23,115200000000.0,31496097,9580,6370
019010,베뉴지,KOSDAQ,27.16,390600000000.0,40200000,25370,16900
066360,체리부로,KOSDAQ,27.0,100700000000.0,47952015,5450,3640
033100,제룡전기,KOSDAQ,26.93,239300000000.0,16062409,38580,25760
214450,파마리서치,KOSDAQ,26.88,689300000000.0,10389648,171480,114580
206650,유바이오로직스,KOSDAQ,26.85,175400000000.0,36573307,12380,8280
002990,금호건설,KOSPI,26.79,247800000000.0,37026933,17240,11530
260970,에스앤디,KOSDAQ,26.71,86200000000.0,2892754,76530,51240
019540,일지테크,KOSDAQ,26.7,191800000000.0,13213126,37270,24950
045340,토탈소프트,KOSDAQ,26.65,36600000000.0,8372749,11200,7510
154040,다산솔루에타,KOSDAQ,26.55,52600000000.0,17950094,7480,5020
010280,아이티센엔텍,KOSDAQ,26.23,99400000000.0,13024755,19250,12960
214150,클래시스,KOSDAQ,26.21,553000000000.0,65153528,21390,14410
031820,아이티센씨티에스,KOSPI,25.89,229000000000.0,12105146,47090,31850
018290,브이티,KOSDAQ,25.66,242400000000.0,34636358,17270,11710
461300,아이스크림미디어,KOSDAQ,25.36,204400000000.0,12703464,39240,26710
484870,엠앤씨솔루션,KOSPI,25.32,194700000000.0,9153900,51780,35270
100840,SNT에너지,KOSPI,25.15,364700000000.0,19761108,44630,30470
403870,HPSP,KOSDAQ,24.79,308200000000.0,81262870,9040,6200
336570,원텍,KOSDAQ,24.79,157400000000.0,88731173,4230,2900
003080,SB성보,KOSPI,24.66,153600000000.0,19588021,18590,12770
052460,아이크래프트,KOSDAQ,24.65,46500000000.0,12157936,9070,6230
476060,온코닉테라퓨틱스,KOSDAQ,24.65,72000000000.0,45407840,3760,2580
000910,유니온,KOSPI,24.46,107800000000.0,15611619,16240,11190
298040,효성중공업,KOSPI,24.41,2351700000000.0,9311741,592770,408650
065710,서호전기,KOSDAQ,24.38,81900000000.0,5033519,38140,26310
