종목코드,종목명,시장,ROE(%),자본총계(원),총주식수,예상ROE(%),적정주가(S-RIM),보수적주가(S-RIM),예상적정주가(S-RIM),예상보수적주가(S-RIM),할인율(%)
298000,효성화학,KOSPI,260.94,369300000000.0,3768072,0.0,2456690,1180740,0,0,10.41
008500,일정실업,KOSPI,129.88,19300000000.0,6000000,0.0,40130,20160,0,0,10.41
171090,선익시스템,KOSDAQ,101.48,143800000000.0,9363622,29.12,149710,77030,42960,28030,10.41
016880,웅진,KOSPI,96.89,177900000000.0,78462571,0.0,21100,10910,0,0,10.41
278470,에이피알,KOSPI,75.3,445800000000.0,37438155,54.58,86130,45980,62430,35100,10.41
187420,HLB제넥스,KOSDAQ,69.85,40900000000.0,32424001,0.0,8460,4570,0,0,10.41
036000,예림당,KOSDAQ,66.78,255800000000.0,23034277,0.0,71240,38710,0,0,10.41
123330,제닉,KOSDAQ,59.77,41000000000.0,7824686,0.0,30080,16640,0,0,10.41
950170,JTC,KOSDAQ,57.43,183200000000.0,48741115,0.0,20740,11550,0,0,10.41
177350,베셀,KOSDAQ,56.26,41300000000.0,19614225,0.0,11380,6360,0,0,10.41
419530,SAMG엔터,KOSDAQ,54.69,81000000000.0,9382907,22.69,45350,25490,18820,13310,10.41
458870,씨어스,KOSDAQ,52.78,39600000000.0,38059740,44.65,5280,2980,4460,2610,10.41
483650,달바글로벌,KOSPI,52.59,198600000000.0,12411540,43.04,80840,45760,66160,39020,10.41
096630,에스코넥,KOSDAQ,49.77,88700000000.0,15666323,0.0,27070,15490,0,0,10.41
257720,실리콘투,KOSDAQ,46.89,457400000000.0,65453052,29.64,31480,18230,19900,12910,10.41
067290,JW신약,KOSDAQ,46.3,40700000000.0,55880525,0.0,3240,1880,0,0,10.41
043260,성호전자,KOSDAQ,46.27,250800000000.0,70922823,0.0,15720,9130,0,0,10.41
124500,아이티센글로벌,KOSDAQ,45.89,125400000000.0,23204527,0.0,23820,13860,0,0,10.41
300080,플리토,KOSDAQ,45.69,17200000000.0,16505451,0.0,4570,2660,0,0,10.41
184230,SGA솔루션즈,KOSDAQ,45.29,34500000000.0,18645399,0.0,8050,4700,0,0,10.41
065150,대산F&B,KOSDAQ,45.0,24300000000.0,15575840,0.0,6740,3940,0,0,10.41
083650,비에이치아이,KOSDAQ,44.36,177600000000.0,30942134,35.9,24460,14330,19790,12190,10.41
000660,SK하이닉스,KOSPI,44.15,120516200000000.0,690923621,38.27,739770,433940,641240,388710,10.41
092600,앤씨앤,KOSDAQ,43.8,39100000000.0,4422588,0.0,37200,21860,0,0,10.41
041510,에스엠,KOSDAQ,41.65,1002600000000.0,22894690,12.73,175210,104120,53550,48270,10.41
267260,HD현대일렉트릭,KOSPI,41.5,2028800000000.0,35992704,35.3,224710,133640,191140,118230,10.41
137080,나래나노텍,KOSDAQ,41.46,116300000000.0,10751468,0.0,43080,25630,0,0,10.41
071970,HD현대마린엔진,KOSPI,41.36,488900000000.0,33921473,22.89,57260,34080,31690,22340,10.41
143240,사람인,KOSDAQ,41.2,267000000000.0,10498731,0.0,100650,59960,0,0,10.41
211050,인카금융서비스,KOSDAQ,39.66,216300000000.0,49260557,0.0,16730,10050,0,0,10.41
196170,알테오젠,KOSDAQ,39.42,445200000000.0,53510135,0.0,31510,18960,0,0,10.41
326030,SK바이오팜,KOSPI,39.28,813000000000.0,78313250,30.4,39170,23600,30320,19530,10.41
006620,동구바이오제약,KOSDAQ,39.12,151700000000.0,27042108,0.0,21080,12710,0,0,10.41
005690,파미셀,KOSPI,38.31,123900000000.0,59991064,0.0,7600,4610,0,0,10.41
402340,SK스퀘어,KOSPI,37.82,27636500000000.0,131808151,43.55,761750,463100,877160,516070,10.41
003230,삼양식품,KOSPI,37.59,1255400000000.0,7533015,27.8,601780,366390,445050,294450,10.41
019180,티에이치엔,KOSPI,36.85,224700000000.0,18000000,0.0,44190,27040,0,0,10.41
046940,우원개발,KOSDAQ,36.78,156700000000.0,18074350,0.0,30630,18750,0,0,10.41
082740,한화엔진,KOSPI,36.6,556100000000.0,83425535,29.21,23440,14360,18700,12190,10.41
002960,한국쉘석유,KOSPI,36.04,140400000000.0,1300000,0.0,373900,230060,0,0,10.41
068790,DMS,KOSDAQ,35.52,434100000000.0,22184124,0.0,66770,41230,0,0,10.41
047080,한빛소프트,KOSDAQ,35.51,17300000000.0,24822362,0.0,2380,1470,0,0,10.41
100030,인지소프트,KOSDAQ,35.1,69500000000.0,2598057,0.0,90200,55880,0,0,10.41
042700,한미반도체,KOSPI,34.76,690300000000.0,94853002,0.0,24300,15090,0,0,10.41
039200,오스코텍,KOSDAQ,33.87,181300000000.0,38258176,38.31,15420,9640,17440,10570,10.41
443060,HD현대마린솔루션,KOSPI,33.73,824700000000.0,44833460,41.16,59600,37310,72730,43340,10.41
088130,동아엘텍,KOSDAQ,33.57,170100000000.0,17485314,0.0,31370,19660,0,0,10.41
263700,케어랩스,KOSDAQ,32.8,68500000000.0,19399979,0.0,11130,7020,0,0,10.41
052400,코나아이,KOSDAQ,32.62,258600000000.0,14371231,30.71,56390,35620,53080,34100,10.41
439260,대한조선,KOSPI,32.19,1092400000000.0,37651148,19.35,89720,56880,53930,40450,10.41
339950,아이비김영,KOSDAQ,32.19,73800000000.0,43363770,24.3,5260,3340,3970,2740,10.41
036830,솔브레인홀딩스,KOSDAQ,32.06,1735400000000.0,20445981,0.0,261400,165910,0,0,10.41
013520,화승코퍼레이션,KOSPI,31.5,283300000000.0,46905242,0.0,18280,11660,0,0,10.41
010770,평화홀딩스,KOSPI,31.18,127400000000.0,14388961,0.0,26520,16960,0,0,10.41
272110,케이엔제이,KOSDAQ,30.79,96700000000.0,7830739,0.0,36520,23450,0,0,10.41
032620,GC메디아이,KOSDAQ,30.72,141500000000.0,50783840,0.0,8220,5280,0,0,10.41
003350,한국화장품제조,KOSPI,30.6,104700000000.0,18125035,0.0,16980,10920,0,0,10.41
064350,현대로템,KOSPI,30.05,3079000000000.0,109142293,24.22,81430,52640,65640,45390,10.41
007660,이수페타시스,KOSPI,29.64,755500000000.0,73409219,28.53,29300,19020,28210,18510,10.41
226590,엠디바이스,KOSDAQ,29.23,47300000000.0,10716784,0.0,12390,8080,0,0,10.41
062040,산일전기,KOSPI,29.21,585500000000.0,30555097,30.14,53770,35050,55480,35830,10.41
035900,JYP Ent.,KOSDAQ,29.21,620600000000.0,33133059,16.21,52560,34260,29170,23520,10.41
353810,이지바이오,KOSDAQ,29.06,107200000000.0,33081920,0.0,9050,5910,0,0,10.41
