종목코드,종목명,시장,ROE(%),예상ROE(%),현재가,적정주가(S-RIM),보수적주가(S-RIM),예상적정주가(S-RIM),예상보수적주가(S-RIM),정렬기준(%)
298000,효성화학,KOSPI,260.94,0.0,38900,2456690,1180740,0,0,6215.4
065150,대산F&B,KOSDAQ,45.0,0.0,145,6740,3940,0,0,4548.28
092600,앤씨앤,KOSDAQ,43.8,0.0,987,37200,21860,0,0,3669.0
052420,오성첨단소재,KOSDAQ,12.48,0.0,1448,34620,31510,0,0,2290.88
001620,케이비아이동국실업,KOSPI,13.01,0.0,642,14780,13190,0,0,2202.18
036000,예림당,KOSDAQ,66.78,0.0,3235,71240,38710,0,0,2102.16
008500,일정실업,KOSPI,129.88,0.0,2510,40130,20160,0,0,1498.8
227950,엔투텍,KOSDAQ,17.7,0.0,503,6290,4890,0,0,1150.5
177350,베셀,KOSDAQ,56.26,0.0,1000,11380,6360,0,0,1038.0
184230,SGA솔루션즈,KOSDAQ,45.29,0.0,754,8050,4700,0,0,967.64
224060,더코디,KOSDAQ,22.85,0.0,5800,50750,35810,0,0,775.0
000950,전방,KOSPI,13.99,0.0,32600,268320,231170,0,0,723.07
068790,DMS,KOSDAQ,35.52,0.0,8150,66770,41230,0,0,719.26
016880,웅진,KOSPI,96.89,0.0,2855,21100,10910,0,0,639.05
003080,SB성보,KOSPI,24.66,0.0,2570,18580,12770,0,0,622.96
137080,나래나노텍,KOSDAQ,41.46,0.0,6000,43080,25630,0,0,618.0
096630,에스코넥,KOSDAQ,49.77,0.0,3810,27070,15490,0,0,610.5
080530,코디,KOSDAQ,10.64,0.0,815,5480,5410,0,0,572.39
417180,핑거스토리,KOSDAQ,12.32,0.0,1579,10490,9610,0,0,564.34
010770,평화홀딩스,KOSPI,31.18,0.0,4050,26520,16960,0,0,554.81
154040,다산솔루에타,KOSDAQ,26.55,0.0,1153,7470,5020,0,0,547.88
258790,소프트캠프,KOSDAQ,27.93,0.0,1718,10370,6850,0,0,503.61
143240,사람인,KOSDAQ,41.2,0.0,16770,100650,59960,0,0,500.18
019180,티에이치엔,KOSPI,36.85,0.0,7610,44190,27040,0,0,480.68
031820,아이티센씨티에스,KOSPI,25.89,0.0,8240,47050,31830,0,0,471.0
000540,흥국화재,KOSPI,18.85,0.0,4225,23590,17880,0,0,458.34
013520,화승코퍼레이션,KOSPI,31.5,0.0,3320,18280,11660,0,0,450.6
046940,우원개발,KOSDAQ,36.78,0.0,5750,30630,18750,0,0,432.7
052790,액토즈소프트,KOSDAQ,12.77,0.0,5500,28850,25960,0,0,424.55
019540,일지테크,KOSDAQ,26.7,0.0,7250,37230,24940,0,0,413.52
136490,선진,KOSPI,23.5,0.0,11050,53460,37350,0,0,383.8
066360,체리부로,KOSDAQ,27.0,0.0,1140,5450,3640,0,0,378.07
263700,케어랩스,KOSDAQ,32.8,0.0,2460,11130,7020,0,0,352.44
100030,인지소프트,KOSDAQ,35.1,0.0,20500,90200,55880,0,0,340.0
088910,동우팜투테이블,KOSDAQ,12.55,0.0,2560,11230,10190,0,0,338.67
006620,동구바이오제약,KOSDAQ,39.12,0.0,4990,21080,12710,0,0,322.44
058860,KTis,KOSPI,16.29,0.0,2910,12210,9820,0,0,319.59
007980,TP,KOSPI,14.54,0.0,2105,8820,7470,0,0,319.0
001450,현대해상,KOSPI,20.6,14.89,31050,128690,94250,93020,77880,314.46
002380,KCC,KOSPI,23.51,2.55,606000,2502750,1748350,271460,724100,313.0
019010,베뉴지,KOSDAQ,27.16,0.0,6160,25350,16890,0,0,311.53
